mp3tagArtist;mp3tagGenre;mainArtist;mainId;downloaded
#####;Metal;#####;590327453;2026-02-06 09:02:43
3 Doors Down;Alternative;3 Doors Down;101604;2026-02-06 09:02:47
3 Inches of Blood;Heavy Metal;3 Inches of Blood;26515293;2026-02-06 09:02:51
36 Crazyfists;Metalcore;36 Crazyfists;6338556;2026-02-06 09:02:56
3rd Strike;Nu Metal;3rd Strike;3299291;2026-02-06 09:03:00
5'nizza;Acoustic;5'nizza;251582975;2026-02-06 09:03:04
50 Cent;Rap;50 Cent;112058;2026-02-06 09:03:10
6ix9ine;Rap;6ix9ine;1258256228;2026-02-06 09:03:15
7000$;Alternative;7000$;331647880;2026-02-06 09:03:20
96 Bitter Beings;Alternative;96 Bitter Beings;1444860850;2026-02-06 09:03:24
АК-47;Rap;АК-47;590332748;2026-02-06 09:03:28
АК-47;Rap;АК-47;501951774;2026-02-06 09:03:33
Александр Розенбаум;Acoustic;;0;
Ария;Heavy Metal;Ария;646139967;2026-02-06 09:03:38
Банд'Эрос;Pop;;0;
Баста;Rap;Баста;1372953342;2026-02-06 09:03:44
Бес;Black Metal;Бес;1526891030;2026-02-06 09:03:48
Беzумные усилия;Groove Metal;Беzумные усилия;1406384230;2026-02-06 09:03:52
Браво;Rock & Roll;;0;
Виктор Зинчук;Modern Classical;;0;
Город Дит;Heavy Metal;;0;
Грай;Folk Metal;Грай;569705781;2026-02-06 09:03:56
Ёлка;Pop;Ёлка;284266767;2026-02-06 09:04:02
Ирма Сохадзе;Pop;;0;
Карандаш;Hip-Hop;Карандаш;352344842;2026-02-06 09:04:07
Каста;Hip-Hop;Каста;340420197;2026-02-06 09:04:12
Кипелов;Heavy Metal;Кипелов;334602356;2026-02-06 09:04:16
Король и шут;Punk Rock;;0;
Коррозия металла;Thrash Metal;;0;
Крематорий;Rock;;0;
Лешак;Folk Metal;Лешак;355823121;2026-02-06 09:04:20
Ноггано;Hip-Hop;Ноггано;446310531;2026-02-06 09:04:25
Психея;Alternative;Психея;626901659;2026-02-06 09:04:30
Район моей мечты;Rap;;0;
Рекорд оркестр;Rock;Рекорд Оркестр;720831518;2026-02-06 09:04:34
Сектор газа;Punk Rock;Сектор Газа;531116017;2026-02-06 09:04:38
Сергей Маврин;Heavy Metal;Сергей Маврин;334652535;2026-02-06 09:04:43
Слот;Alternative;Слот;160957018;2026-02-06 09:04:49
Эпидемия;Power Metal;Эпидемия;424022271;2026-02-06 09:04:53
A Killer's Confession;Alternative;A Killer's Confession;1169161746;2026-02-06 09:04:58
A Perfect Circle;Alternative;A Perfect Circle;652503;2026-02-06 09:05:02
Aaron Lewis;Country;Aaron Lewis;413422387;2026-02-06 09:05:08
Abbath;Black Metal;Abbath;200771326;2026-02-06 09:05:13
Aborted;Death Metal;Aborted;155833533;2026-02-06 09:05:17
AC/DC;Hard Rock;ACDC;5040714;2026-02-06 09:05:22
Act of Defiance;Thrash Metal;Act of Defiance;1007586421;2026-02-06 09:05:26
Ad Infinitum;Symphonic Metal;Ad Infinitum;1484967403;2026-02-06 09:05:30
Adam Skorupa;Score;;0;
Adema;Nu Metal;Adema;459504;2026-02-06 09:05:34
