mainArtist;mainId;mp3tagGenre;downloaded
#####;590327453;Metal;2026-06-19 11:58:19
3 Doors Down;101604;Alternative;2026-06-19 11:58:24
3 Inches of Blood;26515293;Heavy Metal;2026-06-19 11:58:28
36 Crazyfists;6338556;Metalcore;2026-06-19 11:58:32
3rd Strike;3299291;Nu Metal;2026-06-19 11:58:36
5'nizza;251582975;Acoustic;2026-06-19 11:58:40
50 Cent;112058;Rap;2026-06-19 11:58:46
6ix9ine;1258256228;Rap;2026-06-19 11:58:52
7000$;331647880;Alternative;2026-06-19 11:58:57
7раса;640520453;Alternative;2026-06-19 11:59:01
96 Bitter Beings;1444860850;Alternative;2026-06-19 11:59:05
АК-47;590332748;Rap;2026-06-19 11:59:09
АК-47;501951774;Rap;2026-06-19 11:59:14
Александр Розенбаум;0;Acoustic;
Ария;646139967;Heavy Metal;2026-06-19 11:59:19
Банд'Эрос;0;Pop;
Баста;1372953342;Rap;2026-06-19 11:59:26
Бес;1526891030;Black Metal;2026-06-19 11:59:30
Беzумные усилия;1406384230;Groove Metal;2026-06-19 11:59:34
Браво;0;Rock & Roll;
Виктор Зинчук;0;Modern Classical;
Город Дит;0;Heavy Metal;
Грай;569705781;Folk Metal;2026-06-19 11:59:38
Ёлка;284266767;Pop;2026-06-19 11:59:44
Ирма Сохадзе;0;Pop;
Карандаш;352344842;Hip-Hop;2026-06-19 11:59:49
Каста;340420197;Hip-Hop;2026-06-19 11:59:53
Кипелов;334602356;Heavy Metal;2026-06-19 11:59:58
Король и шут;0;Punk Rock;
Коррозия металла;0;Thrash Metal;
Крематорий;0;Rock;
Лешак;355823121;Folk Metal;2026-06-19 12:00:01
Ноггано;446310531;Hip-Hop;2026-06-19 12:00:06
Психея;626901659;Alternative;2026-06-19 12:00:10
Район моей мечты;0;Rap;
Рекорд оркестр;720831518;Rock;2026-06-19 12:00:14
Руки Вверх!;0;Pop;
Сектор газа;531116017;Punk Rock;2026-06-19 12:00:19
Сергей Маврин;334652535;Heavy Metal;2026-06-19 12:00:23
Слот;160957018;Alternative;2026-06-19 12:00:28
Эпидемия;424022271;Power Metal;2026-06-19 12:00:32
A Killer's Confession;1169161746;Alternative;2026-06-19 12:00:37
A Perfect Circle;652503;Alternative;2026-06-19 12:00:41
Aaron Lewis;413422387;Country;2026-06-19 12:00:45
Abbath;200771326;Black Metal;2026-06-19 12:00:49
Aborted;155833533;Death Metal;2026-06-19 12:00:53
AC/DC;5040714;Hard Rock;2026-06-19 12:00:57
Act of Defiance;1007586421;Thrash Metal;2026-06-19 12:01:01
Ad Infinitum;1484967403;Symphonic Metal;2026-06-19 12:01:05
Adam Skorupa;0;Score;
Adema;459504;Nu Metal;2026-06-19 12:01:09
Adrenaline Mob;454991210;Heavy Metal;2026-06-19 12:01:13
Aerosmith;115386;Hard Rock;2026-06-19 12:01:18
After the Burial;210642079;Progressive Metal;2026-06-19 12:01:22
Airbourne;258928125;Hard Rock;2026-06-19 12:01:27
Akira Yamaoka;262028864;Score;2026-06-19 12:01:32
Akon;0;R&B;
Alexandre Desplat;0;Score;
Aliases;453982764;Progressive Metal;2026-06-19 12:01:36
Alice in Chains;462221;Grunge;2026-06-19 12:01:40
Alicia Keys;316069;R&B;2026-06-19 12:01:46
Alien Ant Farm;3446405;Alternative;2026-06-19 12:01:50
All for Metal;1638071786;Power Metal;2026-06-19 12:01:54
All Shall Perish;64942610;Deathcore;2026-06-19 12:01:58
All That Remains;57844144;Metalcore;2026-06-19 12:02:03
Allt;1529369992;Metalcore;2026-06-19 12:02:07
Almanac;1437554087;Power Metal;2026-06-19 12:02:11
Alpha Kenny Buddy;1063020307;Nu Metal;2026-06-19 12:02:15
Alphamega;1462079731;Alternative;2026-06-19 12:02:19
Alter Bridge;73789273;Alternative;2026-06-19 12:02:23
Amaranthe;421114522;Power Metal;2026-06-19 12:02:28
Amatory;649003431;Metal;2026-06-19 12:02:32
Amnezia;0;Nu Metal;
Amon Amarth;54261107;Melodic Death Metal;2026-06-19 12:02:37
Amorphis;5545051;Progressive Metal;2026-06-19 12:02:41
Amy Winehouse;0;Pop;
Anaal Nathrakh;72869936;Black Metal;2026-06-19 12:02:46
And Oceans;32204550;Symphonic Black Metal;2026-06-19 12:02:50
Andrew Hulshult;0;Metal;
Andrew Lloyd Webber & Tim Rice;0;Rock;
Anette Olzon;336485294;Symphonic Metal;2026-06-19 12:02:54
Angelus Apatrida;153374625;Thrash Metal;2026-06-19 12:02:58
Angra;192030844;Progressive Metal;2026-06-19 12:03:02
Animal ДжаZ;0;Alternative;
Animals as Leaders;311508570;Progressive Metal;2026-06-19 12:03:06
Annihilator;7264636;Thrash Metal;2026-06-19 12:03:11
Anubis Gate;78387863;Progressive Metal;2026-06-19 12:03:15
Apocalypse Orchestra;1208203506;Doom Metal;2026-06-19 12:03:19
Apocalyptica;411644;Symphonic Metal;2026-06-19 12:03:24
April Art;960840600;Alternative;2026-06-19 12:03:28
Arankai;1602506871;Alternative;2026-06-19 12:03:33
Arcane Roots;368621510;Alternative;2026-06-19 12:03:37
Arch Enemy;18098340;Melodic Death Metal;2026-06-19 12:03:41
Archetypes Collide;897258174;Alternative;2026-06-19 12:03:46
Architects;182821355;Metalcore;2026-06-19 12:03:50
