update__date;album_cover__jpeg;album__href;album__name;artist__href;artist__name;release__date;release__date_text
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ce/46/9d/ce469d1f-4c8c-e313-db6f-88ca5680f934/196871475792.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/weibermacht/1721394746;Weibermacht;https://music.apple.com/us/artist/folterkammer/1530465491;Folterkammer;2024-04-19 00:00:00;April 19, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/c6/63/53/c6635339-7664-0ff1-56da-9924a51f7e9e/cover.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/trouble-ep/1716328950;TROUBLE - EP;https://music.apple.com/us/artist/comeback-kid/7581156;Comeback Kid;2023-03-15 00:00:00;Delayed
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/0b/8a/2f/0b8a2fc6-ff0d-ec52-0b69-102aca211151/197190472011.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/noxious-concoctions-ep/1717503560;Noxious Concoctions - EP;https://music.apple.com/us/artist/ghoul/1516360864;Ghoul;2024-02-02 00:00:00;February 2, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/1c/a6/a5/1ca6a5cc-2ce6-0f4a-e626-06b1c3e6d2ee/cover.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/death-can-wait/1707270766;Death Can Wait;https://music.apple.com/us/artist/being-as-an-ocean/492982354;Being As An Ocean;2024-02-02 00:00:00;February 2, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/50/ec/02/50ec02c4-a395-0ef3-9010-a15e603127c2/20938.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/death-an-anthology/1708966182;Death: An Anthology;https://music.apple.com/us/artist/enterprise-earth/923642844;Enterprise Earth;2024-02-02 00:00:00;February 2, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/7e/cf/15/7ecf15d4-ccd1-ef87-4e28-642019dadc63/810135718493.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/lingua-ignota-pt-i-ep/1716091695;Lingua Ignota: Pt. I - EP;https://music.apple.com/us/artist/persefone/337247603;Persefone;2024-02-02 00:00:00;February 2, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/e4/36/e1/e436e1b7-5b76-dfdd-aaa8-176369410478/cover.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/pulse-ep/1715516224;PULSE - EP;https://music.apple.com/us/artist/levels/283547704;LEVELS;2024-02-02 00:00:00;February 2, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/47/16/8f/47168f46-dda1-1062-9b72-2962b8fa5aff/656191958721.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/shame/1705978580;SHAME;https://music.apple.com/us/artist/meth/1466156034;meth.;2024-02-02 00:00:00;February 2, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/a2/c8/7b/a2c87b99-2c85-e751-b1ea-5bb06e704a43/197190211481.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/toil/1712504870;Toil;https://music.apple.com/us/artist/oberst/502387633;Oberst;2024-04-26 00:00:00;April 26, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/93/78/ff/9378ff90-bc5f-01d0-53a5-a0d9e4bf3d76/197190199833.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/death-2-ep/1718684157;DEATH 2 - EP;https://music.apple.com/us/artist/banks-arcade/1323565307;Banks Arcade;2024-02-02 00:00:00;February 2, 2024
